Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
6.0,Hassani Dotson,Minnesota Utd,0.01,,Off Target,33,Right Foot,,,,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
11.0,Joseph Rosales,Minnesota Utd,0.02,,Off Target,27,Left Foot,,Franco Fragapane,Pass (Live),Hassani Dotson,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
11.0,Franco Fragapane,Minnesota Utd,0.13,0.32,Saved,10,Head,,Joseph Rosales,Shot,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
12.0,Teemu Pukki,Minnesota Utd,0.01,0.13,Saved,25,Right Foot,,Franco Fragapane,Pass (Live),Joseph Rosales,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
15.0,Jeong Sangbin,Minnesota Utd,0.11,0.32,Saved,9,Head,,Teemu Pukki,Pass (Live),Joseph Rosales,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
16.0,Miguel Tapias,Minnesota Utd,0.10,,Off Target,9,Head,,Robin Lod,Pass (Dead),Jeong Sangbin,Shot,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
21.0,Gyasi Zardes,Austin,0.12,,Off Target,7,Head,,Žan Kolmanič,Pass (Dead),,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
23.0,Robin Lod,Minnesota Utd,0.45,,Woodwork,14,Left Foot,,Robin Lod,Tackle,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
27.0,Alexander Ring,Austin,0.05,,Off Target,6,Head,,Žan Kolmanič,Pass (Dead),Jon Gallagher,Fouled,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
29.0,Miguel Tapias,Minnesota Utd,0.16,0.36,Saved,6,Head,,Robin Lod,Pass (Dead),Robin Lod,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
31.0,Joseph Rosales,Minnesota Utd,0.01,0.17,Saved,30,Left Foot,,Hassani Dotson,Pass (Live),Wil Trapp,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
34.0,Teemu Pukki,Minnesota Utd,0.03,,Blocked,28,Right Foot,,Joseph Rosales,Pass (Live),Franco Fragapane,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
34.0,Robin Lod,Minnesota Utd,0.52,0.52,Goal,6,Left Foot,Volley,Teemu Pukki,Shot,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
40.0,Teemu Pukki,Minnesota Utd,0.07,,Blocked,17,Right Foot,,Miguel Tapias,Pass (Live),,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
44.0,Robin Lod,Minnesota Utd,0.07,0.04,Saved,20,Right Foot,,Robin Lod,Take-On,Joseph Rosales,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,1
46.0,Ethan Finlay,Austin,0.08,0.17,Saved,9,Head,,Daniel Pereira,Pass (Live),Žan Kolmanič,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,ET,1
48.0,Hassani Dotson,Minnesota Utd,0.37,,Off Target,13,Right Foot,,Miguel Tapias,Pass (Live),,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,ET,1
50.0,Ethan Finlay,Austin,0.16,,Off Target,13,Left Foot,,Emiliano Rigoni,Pass (Live),Owen Wolff,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
51.0,Jeong Sangbin,Minnesota Utd,0.02,,Blocked,20,Right Foot,,Wil Trapp,Pass (Live),Miguel Tapias,Interception,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
60.0,Teemu Pukki,Minnesota Utd,0.10,,Blocked,18,Left Foot,,Robin Lod,Pass (Live),Jeong Sangbin,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
60.0,Wil Trapp,Minnesota Utd,0.01,,Off Target,31,Right Foot,Volley,Teemu Pukki,Shot,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
62.0,Wil Trapp,Minnesota Utd,0.01,,Off Target,32,Right Foot,,Hassani Dotson,Interception,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
63.0,Jáder Obrian,Austin,0.07,,Off Target,14,Left Foot,,Diego Rubio,Pass (Live),Emiliano Rigoni,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
63.0,Emiliano Rigoni,Austin,0.15,,Blocked,13,Right Foot,Volley,Jáder Obrian,Shot,,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
65.0,Jáder Obrian,Austin,0.04,,Blocked,14,Right Foot,,Alexander Ring,Pass (Live),Žan Kolmanič,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
72.0,D.J. Taylor,Minnesota Utd,0.03,0.08,Saved,26,Left Foot,,Miguel Tapias,Pass (Live),Michael Boxall,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
74.0,Franco Fragapane,Minnesota Utd,0.04,0.18,Saved,12,Left Foot,,Alejandro Bran,Pass (Live),,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
84.0,Hassani Dotson,Minnesota Utd,0.07,,Off Target,9,Other,,Joseph Rosales,Pass (Dead),,,Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
88.0,Alexander Ring,Austin,0.06,,Off Target,5,Head,,Emiliano Rigoni,Pass (Dead),Emiliano Rigoni,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,RT,2
91.0,Alejandro Bran,Minnesota Utd,0.67,0.93,Goal,2,Right Foot,,Tani Oluwaseyi,Pass (Live),Caden Clark,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,ET,2
94.0,Guilherme Biro,Austin,0.39,0.66,Goal,8,Left Foot,,Owen Wolff,Pass (Live),Alexander Ring,Pass (Live),Austin-FC-Minnesota-United-February-24-2024-Major-League-Soccer,ET,2
4.0,Teemu Pukki,Minnesota Utd,0.04,,Off Target,13,Right Foot,Volley,Jeong Sangbin,Fouled,D.J. Taylor,Interception,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
8.0,Teemu Pukki,Minnesota Utd,0.50,0.76,Saved,15,Left Foot,,Jeong Sangbin,Pass (Live),,,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
9.0,Caden Clark,Minnesota Utd,0.04,,Off Target,6,Left Foot,,Alejandro Bran,Pass (Live),Teemu Pukki,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
11.0,Diego Rossi,Crew,0.04,,Off Target,22,Right Foot,,Darlington Nagbe,Pass (Live),Alexandru Mățan,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
19.0,D.J. Taylor,Minnesota Utd,0.02,,Blocked,27,Right Foot,,Wil Trapp,Pass (Live),,,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
22.0,Cucho,Crew,0.02,,Blocked,18,Right Foot,,Yaw Yeboah,Pass (Live),Aidan Morris,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
24.0,Cucho,Crew,0.06,0.11,Saved,15,Right Foot,,Maximilian Arfsten,Interception,,,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
33.0,Cucho,Crew,0.53,0.36,Saved,5,Head,,Steven Moreira,Pass (Live),Diego Rossi,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
34.0,Cucho,Crew,0.02,,Off Target,29,Right Foot,,Malte Amundsen,Pass (Live),Darlington Nagbe,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
36.0,Maximilian Arfsten,Crew,0.02,,Blocked,18,Left Foot,,Cucho,Pass (Live),Darlington Nagbe,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
38.0,Alejandro Bran,Minnesota Utd,0.01,,Off Target,31,Left Foot,,Michael Boxall,Pass (Live),,,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
39.0,Maximilian Arfsten,Crew,0.12,0.09,Saved,15,Right Foot,,Maximilian Arfsten,Take-On,Yaw Yeboah,Pass (Dead),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
43.0,Diego Rossi,Crew,0.13,0.36,Saved,11,Right Foot,,Maximilian Arfsten,Pass (Live),Maximilian Arfsten,Take-On,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,1
50.0,Cucho,Crew,0.30,0.46,Saved,9,Head,,Christian Ramirez,Pass (Live),Cucho,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
58.0,Alejandro Bran,Minnesota Utd,0.03,,Off Target,21,Right Foot,,Jeong Sangbin,Pass (Live),Hassani Dotson,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
59.0,Cucho,Crew,0.09,0.32,Goal,22,Right Foot,,Yaw Yeboah,Pass (Live),Maximilian Arfsten,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
68.0,Tani Oluwaseyi,Minnesota Utd,0.03,0.08,Saved,12,Head,,D.J. Taylor,Pass (Live),Wil Trapp,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
69.0,Cucho,Crew,0.04,,Off Target,23,Right Foot,,Yaw Yeboah,Pass (Live),Yaw Yeboah,Take-On,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
79.0,Loïc Mesanvi,Minnesota Utd,0.07,0.12,Saved,11,Right Foot,Volley,Jeong Sangbin,Take-On,Moses Nyeman,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
79.0,Kervin Arriaga,Minnesota Utd,0.02,,Off Target,12,Head,,Joseph Rosales,Pass (Dead),Loïc Mesanvi,Shot,Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
85.0,Christian Ramirez,Crew,0.05,,Blocked,27,Right Foot,,Cucho,Pass (Live),Diego Rossi,Pass (Live),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,RT,2
95.0,Tani Oluwaseyi,Minnesota Utd,0.06,0.06,Goal,11,Left Foot,,Kervin Arriaga,Pass (Live),Joseph Rosales,Pass (Dead),Minnesota-United-Columbus-Crew-March-2-2024-Major-League-Soccer,ET,2
