Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
17.0,Lionel Messi,Inter Miami,0.04,,Blocked,32,Left Foot,Free kick,Lionel Messi,Fouled,Luis Suárez,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
20.0,Luis Suárez,Inter Miami,0.13,0.07,Saved,22,Right Foot,,Robert Taylor,Pass (Live),Luis Suárez,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
21.0,Lionel Messi,Inter Miami,0.14,,Blocked,14,Left Foot,,Luis Suárez,Pass (Live),Lionel Messi,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
23.0,Diego Gómez,Inter Miami,0.03,0.34,Saved,26,Right Foot,,Tomás Avilés,Pass (Live),,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
27.0,Sergio Busquets,Inter Miami,0.02,0.02,Saved,14,Left Foot,Volley,Robert Taylor,Fouled,Luis Suárez,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
28.0,Nelson Palacio,RSL,0.02,,Blocked,36,Right Foot,,,,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
32.0,Cristian Arango,RSL,0.02,,Off Target,28,Right Foot,,,,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
34.0,Jordi Alba,Inter Miami,0.04,,Off Target,18,Left Foot,Volley,Lionel Messi,Pass (Dead),Jordi Alba,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
39.0,Robert Taylor,Inter Miami,0.06,0.41,Goal,17,Right Foot,,Lionel Messi,Pass (Live),Sergio Busquets,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
42.0,Robert Taylor,Inter Miami,0.02,,Off Target,30,Right Foot,,Diego Gómez,Pass (Live),Lionel Messi,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
43.0,Diego Luna,RSL,0.03,,Blocked,22,Right Foot,,Pablo Ruíz,Pass (Live),Emeka Eneli,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
44.0,Lionel Messi,Inter Miami,0.06,,Blocked,16,Left Foot,,,,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,1
51.0,Cristian Arango,RSL,0.10,,Off Target,24,Left Foot,,Pablo Ruíz,Pass (Live),Cristian Arango,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,ET,1
49.0,Carlos Gómez,RSL,0.09,,Off Target,20,Left Foot,,,,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
50.0,Cristian Arango,RSL,0.05,,Blocked,21,Right Foot,,,,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
53.0,Julian Gressel,Inter Miami,0.07,,Off Target,7,Right Foot,Volley,Lionel Messi,Pass (Live),Sergio Busquets,Pass (Live),Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
55.0,Cristian Arango,RSL,0.02,,Blocked,16,Right Foot,,Diego Luna,Pass (Live),Diego Luna,Interception,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
55.0,Pablo Ruíz,RSL,0.06,,Blocked,17,Left Foot,Volley,Cristian Arango,Shot,,,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
56.0,Cristian Arango,RSL,0.04,,Off Target,10,Head,,Pablo Ruíz,Pass (Live),Pablo Ruíz,Shot,Inter-Miami-Real-Salt-Lake-February-21-2024-Major-League-Soccer,RT,2
