team,home_Possession_value,home_Passing Accuracy_value,home_Passing Accuracy_attempts,home_Shots on Target_value,home_Saves_value,home_xg,home_Fouls,home_Corners,home_Crosses,home_Touches,home_Tackles,home_Interceptions,home_Aerials Won,home_Clearances,home_Offsides,home_Goal Kicks,home_Throw Ins,home_Long Balls,home_allowed_Possession_value,home_allowed_Passing Accuracy_value,home_allowed_Passing Accuracy_attempts,home_allowed_Shots on Target_value,home_allowed_Saves_value,home_allowed_xg,home_allowed_Fouls,home_allowed_Corners,home_allowed_Crosses,home_allowed_Touches,home_allowed_Tackles,home_allowed_Interceptions,home_allowed_Aerials Won,home_allowed_Clearances,home_allowed_Offsides,home_allowed_Goal Kicks,home_allowed_Throw Ins,home_allowed_Long Balls,away_Possession_value,away_Passing Accuracy_value,away_Passing Accuracy_attempts,away_Shots on Target_value,away_Saves_value,away_xg,away_Fouls,away_Corners,away_Crosses,away_Touches,away_Tackles,away_Interceptions,away_Aerials Won,away_Clearances,away_Offsides,away_Goal Kicks,away_Throw Ins,away_Long Balls,away_allowed_Possession_value,away_allowed_Passing Accuracy_value,away_allowed_Passing Accuracy_attempts,away_allowed_Shots on Target_value,away_allowed_Saves_value,away_allowed_xg,away_allowed_Fouls,away_allowed_Corners,away_allowed_Crosses,away_allowed_Touches,away_allowed_Tackles,away_allowed_Interceptions,away_allowed_Aerials Won,away_allowed_Clearances,away_allowed_Offsides,away_allowed_Goal Kicks,away_allowed_Throw Ins,away_allowed_Long Balls
Athletico Paranaense,0.5383333333333333,393.3333333333333,481.5,5.833333333333333,2.8333333333333335,1.6666666666666667,13.666666666666666,6.5,23.0,580.1666666666666,15.5,9.166666666666666,15.833333333333334,13.666666666666666,1.3333333333333333,7.166666666666667,17.333333333333332,67.5,0.46166666666666667,325.6666666666667,409.0,3.3333333333333335,4.166666666666667,0.9166666666666666,11.333333333333334,3.6666666666666665,12.666666666666666,516.5,15.333333333333334,9.333333333333334,13.0,27.333333333333332,1.8333333333333333,12.5,15.166666666666666,58.666666666666664,0.442,299.6,394.0,4.0,3.2,0.9199999999999999,15.6,5.4,14.4,509.2,17.0,8.2,18.4,28.6,1.8,9.6,15.8,69.0,0.558,392.8,491.6,4.2,3.4,1.1800000000000002,11.0,5.8,21.2,602.4,16.8,7.8,15.0,19.4,0.6,7.0,17.2,65.8
Atlético Goianiense,0.47400000000000003,325.2,422.2,3.4,2.6,1.4,12.0,4.2,23.2,524.4,11.8,6.4,13.6,17.2,0.8,6.6,19.6,76.4,0.526,382.6,477.6,4.2,3.0,1.0399999999999998,11.0,3.4,14.8,579.4,13.2,7.6,20.0,26.0,1.8,8.6,16.2,74.8,0.48666666666666664,375.1666666666667,473.5,5.166666666666667,2.8333333333333335,1.0833333333333333,11.333333333333334,4.333333333333333,17.833333333333332,585.3333333333334,15.666666666666666,9.166666666666666,18.333333333333332,24.5,1.8333333333333333,8.5,19.333333333333332,70.5,0.5133333333333333,401.6666666666667,503.5,3.5,4.333333333333333,0.9500000000000001,10.833333333333334,6.0,20.833333333333332,604.8333333333334,11.833333333333334,8.166666666666666,18.0,20.333333333333332,0.6666666666666666,6.0,19.166666666666668,68.5
Atlético Mineiro,0.612,508.0,602.4,5.0,2.0,0.8800000000000001,14.2,4.8,22.8,711.4,23.0,9.2,15.4,16.2,2.2,6.8,17.8,67.2,0.388,294.0,381.8,3.2,3.8,1.1199999999999999,13.8,4.0,14.8,500.0,16.6,7.4,12.2,24.6,0.8,8.4,16.6,66.0,0.5640000000000001,407.6,503.8,4.8,2.4,1.3199999999999998,16.0,6.4,20.6,606.4,19.0,10.0,15.4,13.6,1.8,5.4,18.4,72.4,0.43600000000000005,294.2,384.2,3.8,3.4,1.04,14.0,4.0,13.0,496.0,15.4,8.8,13.6,21.4,0.6,6.4,18.4,66.4
Bahia,0.532,455.4,547.0,4.2,3.0,1.34,11.4,4.4,18.4,650.6,19.8,7.8,12.0,19.8,2.4,4.8,18.0,53.4,0.46799999999999997,381.8,469.8,3.4,2.4,0.6,15.0,4.0,14.4,570.6,16.8,9.8,8.6,16.4,3.4,6.6,19.6,55.4,0.53,450.0,534.5,4.166666666666667,4.0,1.3333333333333333,10.5,4.0,14.333333333333334,631.1666666666666,10.666666666666666,9.0,12.666666666666666,19.833333333333332,1.3333333333333333,8.166666666666666,14.5,53.5,0.47,390.1666666666667,479.1666666666667,5.666666666666667,2.8333333333333335,1.3833333333333335,13.0,5.0,22.333333333333332,574.3333333333334,15.666666666666666,8.833333333333334,14.0,18.0,4.333333333333333,6.166666666666667,17.5,61.833333333333336
Botafogo (RJ),0.538,422.0,505.8,4.2,2.0,1.3199999999999998,16.0,7.4,19.4,609.8,18.6,7.2,10.4,22.8,2.6,6.2,18.8,63.2,0.462,348.4,429.8,2.6,2.6,1.1400000000000001,10.6,4.8,16.6,538.6,15.4,9.0,12.8,23.2,1.0,9.6,19.8,60.2,0.5083333333333333,378.3333333333333,470.5,3.3333333333333335,2.5,1.0166666666666666,14.333333333333334,4.5,16.333333333333332,583.0,15.333333333333334,8.833333333333334,12.5,25.666666666666668,0.6666666666666666,10.166666666666666,19.333333333333332,63.666666666666664,0.4916666666666667,355.0,453.1666666666667,3.6666666666666665,1.8333333333333333,1.0,11.833333333333334,5.5,24.0,554.1666666666666,16.5,8.0,13.5,18.833333333333332,2.3333333333333335,6.833333333333333,17.333333333333332,63.5
Corinthians,0.47000000000000003,341.8,431.2,6.6,2.8,1.04,13.4,5.8,21.0,541.6,13.0,9.6,14.2,17.4,1.0,7.0,19.4,60.4,0.53,392.4,486.6,3.2,5.6,0.76,14.4,5.2,15.2,592.0,16.8,8.4,11.4,20.6,2.0,7.6,20.4,60.8,0.48000000000000004,324.0,420.1666666666667,3.5,5.166666666666667,1.0333333333333334,12.333333333333334,5.0,20.5,535.3333333333334,13.666666666666666,10.0,15.833333333333334,27.5,1.5,7.833333333333333,22.333333333333332,65.83333333333333,0.52,345.5,447.6666666666667,6.333333333333333,3.0,1.4000000000000001,16.166666666666668,6.5,21.333333333333332,560.1666666666666,20.166666666666668,8.0,13.333333333333334,21.333333333333332,1.3333333333333333,8.166666666666666,19.5,66.5
Criciúma,0.438,296.4,394.8,4.8,2.6,1.3,13.6,4.0,20.8,504.4,12.8,10.4,13.2,21.8,2.8,10.2,18.2,64.0,0.562,395.4,498.6,4.6,3.2,1.28,12.8,5.2,24.6,605.6,16.2,9.6,11.8,17.4,1.4,8.2,17.8,65.6,0.4175,338.5,421.75,5.5,3.25,1.125,10.0,2.5,10.5,546.5,15.75,6.25,16.5,31.75,2.25,11.75,18.5,67.0,0.5825,489.75,587.75,4.5,3.5,1.525,11.0,6.0,24.75,694.5,20.25,9.0,14.25,10.25,1.25,5.5,18.25,73.25
Cruzeiro,0.485,367.5,452.5,5.25,3.0,1.375,12.25,7.0,22.75,553.75,21.25,7.5,9.0,17.25,1.25,7.75,15.25,58.75,0.515,408.25,488.5,3.5,3.0,1.05,10.0,4.0,16.5,598.25,15.0,7.5,10.25,21.75,0.25,9.75,25.0,56.25,0.48333333333333334,379.0,468.3333333333333,2.8333333333333335,2.6666666666666665,0.6,12.0,3.6666666666666665,13.166666666666666,565.5,14.5,6.666666666666667,12.166666666666666,22.666666666666668,2.3333333333333335,6.833333333333333,17.833333333333332,55.5,0.5166666666666667,426.1666666666667,517.8333333333334,4.333333333333333,2.3333333333333335,1.2166666666666668,12.666666666666666,4.666666666666667,22.666666666666668,614.1666666666666,17.0,8.0,12.833333333333334,15.166666666666666,0.8333333333333334,5.166666666666667,18.0,78.5
Cuiabá,0.4633333333333334,347.0,430.3333333333333,3.3333333333333335,3.3333333333333335,1.0,11.666666666666666,3.8333333333333335,17.5,519.5,12.166666666666666,7.166666666666667,15.0,19.166666666666668,1.6666666666666667,7.0,17.333333333333332,58.666666666666664,0.5366666666666667,413.3333333333333,496.3333333333333,4.0,2.6666666666666665,1.1166666666666667,13.5,4.333333333333333,19.166666666666668,588.6666666666666,11.666666666666666,7.5,11.666666666666666,18.666666666666668,1.0,6.666666666666667,17.0,68.83333333333333,0.406,316.2,400.6,3.4,4.4,1.06,11.0,3.2,16.2,513.4,16.6,7.0,9.2,23.8,0.4,9.2,17.4,63.2,0.594,499.4,587.4,6.2,2.2,1.16,10.0,5.2,25.0,695.6,15.0,9.2,13.4,16.0,2.0,7.4,20.0,58.8
Flamengo,0.484,390.4,474.6,4.8,2.4,1.1800000000000002,12.0,8.0,22.4,579.6,17.0,8.0,12.6,18.6,1.0,5.8,15.4,60.4,0.516,446.0,523.6,3.4,3.2,1.02,14.0,3.6,14.0,629.2,13.6,8.4,12.4,25.0,1.4,8.6,15.8,55.6,0.5750000000000001,398.0,488.0,6.166666666666667,1.5,1.6333333333333335,11.0,6.0,17.166666666666668,591.1666666666666,14.166666666666666,7.833333333333333,13.666666666666666,19.0,0.8333333333333334,6.5,16.833333333333332,59.666666666666664,0.425,266.3333333333333,358.0,2.0,4.666666666666667,0.7000000000000001,16.166666666666668,4.333333333333333,17.666666666666668,457.0,14.833333333333334,7.666666666666667,15.5,20.833333333333332,1.6666666666666667,8.666666666666666,18.166666666666668,63.833333333333336
