game_id,date,home_team,away_team,league,home_Possession_value,away_Possession_value,home_Passing Accuracy_value,home_Passing Accuracy_attempts,away_Passing Accuracy_value,away_Passing Accuracy_attempts,home_Shots on Target_value,home_Shots on Target_attempts,away_Shots on Target_value,away_Shots on Target_attempts,home_Saves_value,home_Saves_attempts,away_Saves_value,away_Saves_attempts,home_goals,away_goals,home_xg,away_xg,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Criciuma-Juventude-April-13-2024-Serie-A,2024-04-13,Criciúma,Juventude,Campeonato Brasileiro Série A,47%,53%,366,460,404,515,3,10,4,15,3,4,2,3,1,1,0.7,0.6,11,15,0,4,10,25,575,629,13,20,11,7,13,12,15,13,3,4,12,5,20,18,65,68
Internacional-Bahia-April-13-2024-Serie-A,2024-04-13,Internacional,Bahia,Campeonato Brasileiro Série A,52%,48%,464,561,417,509,9,17,4,9,3,4,7,9,2,1,1.9,0.7,21,13,6,3,26,12,661,611,25,10,11,9,27,8,10,21,3,2,5,5,17,20,70,56
Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,2024-04-14,Athletico Paranaense,Cuiabá,Campeonato Brasileiro Série A,62%,38%,539,629,319,384,9,20,0,1,0,0,5,9,4,0,2.0,0.3,16,9,7,0,23,4,710,502,14,9,10,11,13,7,2,29,2,1,3,11,19,8,67,45
Vasco-da-Gama-Gremio-April-14-2024-Serie-A,2024-04-14,Vasco da Gama,Grêmio,Campeonato Brasileiro Série A,47%,53%,410,490,462,546,3,15,2,9,1,2,1,3,2,1,0.9,1.2,19,10,3,5,20,17,614,646,26,12,6,8,17,11,24,15,1,1,6,6,19,22,55,43
Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,2024-04-14,Corinthians,Atlético Mineiro,Campeonato Brasileiro Série A,47%,53%,298,389,335,430,2,14,3,8,3,3,2,2,0,0,0.5,0.3,16,14,3,3,22,9,496,531,11,11,14,9,12,20,12,21,0,2,7,10,18,18,62,58
Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,2024-04-14,Atlético Goianiense,Flamengo,Campeonato Brasileiro Série A,33%,67%,168,249,431,512,4,10,1,14,0,1,3,4,1,2,1.6,1.2,12,12,4,4,18,18,342,588,11,8,3,6,15,17,20,14,2,1,11,5,18,17,56,58
Cruzeiro-Botafogo-RJ-April-14-2024-Serie-A,2024-04-14,Cruzeiro,Botafogo (RJ),Campeonato Brasileiro Série A,55%,45%,358,444,279,357,5,15,3,6,1,3,2,5,3,2,1.6,2.0,12,11,6,3,24,8,541,462,14,12,8,9,12,11,11,28,2,0,4,10,15,25,61,51
Vitoria-Palmeiras-April-14-2024-Serie-A,2024-04-14,Vitória,Palmeiras,Campeonato Brasileiro Série A,56%,44%,358,440,257,344,5,13,4,15,3,4,5,5,0,1,1.4,0.8,12,15,3,9,19,20,536,458,15,27,8,7,15,18,22,15,2,3,11,6,16,10,40,59
Fluminense-Red-Bull-Bragantino-April-13-2024-Serie-A,2024-04-13,Fluminense,Red Bull Bragantino,Campeonato Brasileiro Série A,69%,31%,489,582,174,267,11,26,8,16,6,8,9,11,2,2,1.8,1.2,8,19,13,6,31,19,704,397,5,28,7,6,20,15,20,30,0,0,10,10,25,18,59,63
Sao-Paulo-Fortaleza-April-13-2024-Serie-A,2024-04-13,São Paulo,Fortaleza,Campeonato Brasileiro Série A,72%,28%,650,762,199,302,5,14,2,6,0,2,4,5,1,2,0.5,0.4,10,14,11,4,34,6,873,426,15,25,10,3,24,10,6,27,2,1,4,7,33,19,82,80
