Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event,game_id,Minute Type,Half
3.0,Lucas Barbosa,Juventude,0.01,,Off Target,28,Left Foot,,João Lucas,Pass (Live),Lucas Barbosa,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
9.0,Marcelo Hermes,Criciúma,0.00,,Off Target,33,Right Foot,Volley,Fellipe Mateus,Fouled,Éder,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
15.0,Marcelo Hermes,Criciúma,0.07,,Blocked,12,Right Foot,,Renato Kayser,Pass (Live),Claudinho,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
15.0,Gilberto,Juventude,0.07,,Off Target,18,Right Foot,,Jadson,Pass (Live),,,Criciuma-Juventude-April-13-2024-Serie-A,RT,1
18.0,Renato Kayser,Criciúma,0.32,,Off Target,8,Head,,Marquinhos Gabriel,Pass (Live),Marquinhos Gabriel,Take-On,Criciuma-Juventude-April-13-2024-Serie-A,RT,1
20.0,Éder,Criciúma,0.02,,Off Target,29,Right Foot,,Claudinho,Pass (Live),Rodrigo Fagundes,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
22.0,Nenê,Juventude,0.03,0.27,Saved,29,Left Foot,,,,,,Criciuma-Juventude-April-13-2024-Serie-A,RT,1
31.0,Lucas Barbosa,Juventude,0.05,,Off Target,20,Left Foot,,Nenê,Pass (Live),Jean Carlos Vicente,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
36.0,Renato Kayser,Criciúma,0.11,0.62,Goal,8,Left Foot,Volley,Marcelo Hermes,Pass (Live),Marquinhos Gabriel,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
41.0,Jadson,Juventude,0.04,0.08,Saved,30,Right Foot,,,,,,Criciuma-Juventude-April-13-2024-Serie-A,RT,1
42.0,Caíque de Jesus Gonçalves,Juventude,0.03,,Blocked,31,Right Foot,,Jadson,Pass (Live),Nenê,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,1
51.0,Lucas Barbosa,Juventude,0.03,,Blocked,27,Left Foot,,Jadson,Pass (Live),Lucas Barbosa,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,ET,1
46.0,Marquinhos Gabriel,Criciúma,0.01,0.02,Saved,34,Left Foot,,Marquinhos Gabriel,Take-On,Fellipe Mateus,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
52.0,Nenê,Juventude,0.03,,Blocked,18,Left Foot,,Jean Carlos Vicente,Pass (Live),João Lucas,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
56.0,Erick,Juventude,0.01,,Off Target,22,Right Foot,,João Lucas,Pass (Live),Jadson,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
61.0,Lucas Barbosa,Juventude,0.02,,Off Target,15,Head,,João Lucas,Pass (Live),Jadson,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
62.0,Zé Marcos,Juventude,0.06,,Off Target,22,Left Foot,Volley,Jadson,Pass (Live),Lucas Barbosa,Shot,Criciuma-Juventude-April-13-2024-Serie-A,RT,2
64.0,Jean Carlos Vicente,Juventude,0.07,0.63,Goal,23,Left Foot,,Jadson,Pass (Live),Jean Carlos Vicente,Tackle,Criciuma-Juventude-April-13-2024-Serie-A,RT,2
76.0,Marcelinho,Juventude,0.04,0.07,Saved,27,Left Foot,,Jadson,Pass (Live),Rildo,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
81.0,Rildo,Juventude,0.03,,Blocked,28,Right Foot,Free kick,Rildo,Fouled,Gabriel Inocêncio,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
84.0,Renato Kayser,Criciúma,0.02,,Blocked,14,Head,,Yerson Candelo,Pass (Live),Matheusinho,Pass (Live),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
85.0,Fellipe Mateus,Criciúma,0.09,0.17,Saved,14,Right Foot,,Yannick Bolasie,Pass (Live),Yannick Bolasie,Take-On,Criciuma-Juventude-April-13-2024-Serie-A,RT,2
86.0,Marcelinho,Juventude,0.04,,Off Target,27,Left Foot,,Jean Carlos Vicente,Pass (Live),Gabriel Inocêncio,Pass (Dead),Criciuma-Juventude-April-13-2024-Serie-A,RT,2
93.0,Matheusinho,Criciúma,0.02,,Off Target,27,Left Foot,,Yannick Bolasie,Pass (Live),Yannick Bolasie,Take-On,Criciuma-Juventude-April-13-2024-Serie-A,ET,2
95.0,Marcelo Hermes,Criciúma,0.03,,Blocked,26,Left Foot,,,,,,Criciuma-Juventude-April-13-2024-Serie-A,ET,2
18.0,Thiago Maia,Internacional,0.03,0.10,Saved,10,Head,,Mauricio,Pass (Dead),Bruno Gomes,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
21.0,Wanderson,Internacional,0.02,,Blocked,21,Right Foot,,Rafael Borré,Pass (Live),Lucca Holanda,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
23.0,Rafael Borré,Internacional,0.02,0.23,Saved,12,Head,,Bruno Gomes,Pass (Dead),,,Internacional-Bahia-April-13-2024-Serie-A,RT,1
23.0,Rafael Borré,Internacional,0.17,0.14,Saved,10,Left Foot,,Lucca Holanda,Pass (Live),Thiago Maia,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
26.0,Everton Ribeiro,Bahia,0.04,,Off Target,28,Left Foot,,,,,,Internacional-Bahia-April-13-2024-Serie-A,RT,1
28.0,Jean Lucas,Bahia,0.23,0.09,Saved,11,Right Foot,,Santiago Arias,Pass (Live),Jean Lucas,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
31.0,Oscar Estupiñan,Bahia,0.04,,Off Target,13,Head,,Luciano Juba,Pass (Dead),Luciano Juba,Fouled,Internacional-Bahia-April-13-2024-Serie-A,RT,1
33.0,Fabricio Bustos,Internacional,0.02,,Off Target,26,Right Foot,,Mauricio,Pass (Live),Bruno Gomes,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
38.0,Thaciano,Bahia,0.05,,Blocked,13,Right Foot,,Santiago Arias,Pass (Live),Caio Alexandre,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,1
50.0,Bruno Henrique,Internacional,0.01,,Off Target,31,Right Foot,Volley,Fabricio Bustos,Pass (Live),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
52.0,Rafael Borré,Internacional,0.07,,Off Target,10,Head,,Fabricio Bustos,Pass (Live),Gabriel Mercado,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
57.0,Cauly Oliveira Souza,Bahia,0.02,0.08,Saved,27,Right Foot,,Everton Ribeiro,Pass (Live),Santiago Arias,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
58.0,Rafael Borré,Internacional,0.02,0.02,Saved,37,Right Foot,,Mauricio,Pass (Live),,,Internacional-Bahia-April-13-2024-Serie-A,RT,2
60.0,Rafael Borré,Internacional,0.45,,Off Target,6,Head,,Wanderson,Pass (Dead),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
62.0,Vitão,Internacional,0.06,,Off Target,11,Head,,Fernando,Pass (Live),Bruno Henrique,Pass (Dead),Internacional-Bahia-April-13-2024-Serie-A,RT,2
66.0,Mauricio,Internacional,0.06,,Off Target,13,Right Foot,Volley,Vitão,Pass (Live),Bruno Henrique,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Wanderson,Internacional,0.06,,Blocked,14,Right Foot,,Mauricio,Pass (Live),Renê,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Mauricio,Internacional,0.03,0.03,Saved,21,Left Foot,,Renê,Pass (Live),Fernando,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
68.0,Renê,Internacional,0.32,0.37,Saved,6,Right Foot,,Mauricio,Shot,,,Internacional-Bahia-April-13-2024-Serie-A,RT,2
70.0,Biel,Bahia,0.14,0.54,Goal,11,Right Foot,Deflected,Jean Lucas,Pass (Live),Everton Ribeiro,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
72.0,Wesley,Internacional,0.14,0.12,Goal,12,Left Foot,Volley,Gabriel Mercado,Pass (Live),Fernando,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
75.0,Rafael Borré,Internacional,0.37,0.71,Saved,4,Right Foot,,Wesley,Pass (Live),Mauricio,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
78.0,Thaciano,Bahia,0.09,0.11,Saved,15,Left Foot,,Biel,Pass (Live),Jean Lucas,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,RT,2
83.0,Fernando,Internacional,0.06,0.15,Goal,7,Head,,Bruno Henrique,Pass (Dead),Gabriel Mercado,Fouled,Internacional-Bahia-April-13-2024-Serie-A,RT,2
91.0,Luciano Juba,Bahia,0.03,,Blocked,27,Left Foot,,Carlos de Pena,Fouled,Santiago Arias,Pass (Dead),Internacional-Bahia-April-13-2024-Serie-A,ET,2
96.0,Everaldo Stum,Bahia,0.07,,Off Target,10,Right Foot,,Santiago Arias,Pass (Live),Jean Lucas,Pass (Live),Internacional-Bahia-April-13-2024-Serie-A,ET,2
9.0,Julimar,Ath Paranaense,0.03,,Off Target,31,Left Foot,,Thiago Heleno,Pass (Live),Pablo,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
19.0,Agustín Canobbio,Ath Paranaense,0.05,,Off Target,20,Left Foot,,Lucas Esquivel,Pass (Live),Tomás Cuello,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
23.0,Julimar,Ath Paranaense,0.02,,Blocked,11,Head,Deflected,Fernandinho,Pass (Dead),Tomás Cuello,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
23.0,Pablo,Ath Paranaense,0.24,0.91,Goal,4,Head,,Julimar,Shot,,,Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
27.0,Tomás Cuello,Ath Paranaense,0.02,,Blocked,21,Right Foot,,Agustín Canobbio,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
27.0,Kaique Rocha,Ath Paranaense,0.06,,Blocked,11,Head,,Tomás Cuello,Pass (Live),Agustín Canobbio,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
30.0,Fernandinho,Ath Paranaense,0.01,0.18,Saved,26,Right Foot,Volley,Pablo,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
31.0,Lucas Esquivel,Ath Paranaense,0.02,,Blocked,29,Left Foot,,Tomás Cuello,Pass (Live),Fernandinho,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
31.0,Erick,Ath Paranaense,0.02,,Blocked,14,Head,,Fernandinho,Pass (Live),Lucas Esquivel,Pass (Live),Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,RT,1
