game_id,date,home_team,away_team,league,home_Possession,away_Possession,home_Passing Accuracy,away_Passing Accuracy,home_Shots on Target,away_Shots on Target,home_Saves,away_Saves,home_Cards,away_Cards,home_Fouls,away_Fouls,home_Corners,away_Corners,home_Crosses,away_Crosses,home_Touches,away_Touches,home_Tackles,away_Tackles,home_Interceptions,away_Interceptions,home_Aerials Won,away_Aerials Won,home_Clearances,away_Clearances,home_Offsides,away_Offsides,home_Goal Kicks,away_Goal Kicks,home_Throw Ins,away_Throw Ins,home_Long Balls,away_Long Balls
Criciuma-Juventude-April-13-2024-Serie-A,2024-04-13,Criciúma,Juventude,Campeonato Brasileiro Série A,47,53,80,78,30,27,75,66,,,11,15,0,4,10,25,575,629,13,20,11,7,13,12,15,13,3,4,12,5,20,18,65,68
Internacional-Bahia-April-13-2024-Serie-A,2024-04-13,Internacional,Bahia,Campeonato Brasileiro Série A,52,48,83,82,53,44,75,77,,,21,13,6,3,26,12,661,611,25,10,11,9,27,8,10,21,3,2,5,5,17,20,70,56
Athletico-Paranaense-Cuiaba-April-14-2024-Serie-A,2024-04-14,Athletico Paranaense,Cuiabá,Campeonato Brasileiro Série A,62,38,86,83,45,0,,55,,,16,9,7,0,23,4,710,502,14,9,10,11,13,7,2,29,2,1,3,11,19,8,67,45
Vasco-da-Gama-Gremio-April-14-2024-Serie-A,2024-04-14,Vasco da Gama,Grêmio,Campeonato Brasileiro Série A,47,53,84,85,20,22,50,33,,,19,10,3,5,20,17,614,646,26,12,6,8,17,11,24,15,1,1,6,6,19,22,55,43
Corinthians-Atletico-Mineiro-April-14-2024-Serie-A,2024-04-14,Corinthians,Atlético Mineiro,Campeonato Brasileiro Série A,47,53,77,78,14,38,100,100,,,16,14,3,3,22,9,496,531,11,11,14,9,12,20,12,21,0,2,7,10,18,18,62,58
Atletico-Goianiense-Flamengo-April-14-2024-Serie-A,2024-04-14,Atlético Goianiense,Flamengo,Campeonato Brasileiro Série A,33,67,67,84,40,7,0,75,,,12,12,4,4,18,18,342,588,11,8,3,6,15,17,20,14,2,1,11,5,18,17,56,58
Cruzeiro-Botafogo-RJ-April-14-2024-Serie-A,2024-04-14,Cruzeiro,Botafogo (RJ),Campeonato Brasileiro Série A,55,45,81,78,33,50,33,40,,,12,11,6,3,24,8,541,462,14,12,8,9,12,11,11,28,2,0,4,10,15,25,61,51
Vitoria-Palmeiras-April-14-2024-Serie-A,2024-04-14,Vitória,Palmeiras,Campeonato Brasileiro Série A,56,44,81,75,38,27,75,100,,,12,15,3,9,19,20,536,458,15,27,8,7,15,18,22,15,2,3,11,6,16,10,40,59
Fluminense-Red-Bull-Bragantino-April-13-2024-Serie-A,2024-04-13,Fluminense,Red Bull Bragantino,Campeonato Brasileiro Série A,69,31,84,65,42,50,75,81,,,8,19,13,6,31,19,704,397,5,28,7,6,20,15,20,30,0,0,10,10,25,18,59,63
Sao-Paulo-Fortaleza-April-13-2024-Serie-A,2024-04-13,São Paulo,Fortaleza,Campeonato Brasileiro Série A,72,28,85,66,36,33,0,80,,,10,14,11,4,34,6,873,426,15,25,10,3,24,10,6,27,2,1,4,7,33,19,82,80
Gremio-Athletico-Paranaense-April-17-2024-Serie-A,2024-04-17,Grêmio,Athletico Paranaense,Campeonato Brasileiro Série A,48,52,77,78,50,0,,71,,,7,13,9,2,14,11,570,605,12,14,5,3,15,17,22,30,0,1,4,6,19,15,72,61
Red-Bull-Bragantino-Vasco-da-Gama-April-17-2024-Serie-A,2024-04-17,Red Bull Bragantino,Vasco da Gama,Campeonato Brasileiro Série A,41,59,71,80,29,23,66,60,,,14,15,4,6,14,36,478,639,10,14,9,15,20,28,34,21,0,3,9,9,23,21,63,71
Juventude-Corinthians-April-17-2024-Serie-A,2024-04-17,Juventude,Corinthians,Campeonato Brasileiro Série A,44,56,77,80,50,12,100,75,,,16,10,6,7,18,24,564,639,23,8,12,13,12,8,26,11,1,2,12,6,19,35,51,68
Atletico-Mineiro-Criciuma-April-17-2024-Serie-A,2024-04-17,Atlético Mineiro,Criciúma,Campeonato Brasileiro Série A,68,32,88,82,27,20,0,83,,,12,10,9,2,26,11,882,511,30,14,8,7,13,12,13,36,2,0,4,9,19,13,70,64
Palmeiras-Internacional-April-17-2024-Serie-A,2024-04-17,Palmeiras,Internacional,Campeonato Brasileiro Série A,64,36,79,69,17,50,50,100,,,17,21,6,2,27,2,631,427,12,16,12,9,21,15,5,34,4,1,3,14,28,14,84,80
Fortaleza-Cruzeiro-April-17-2024-Serie-A,2024-04-17,Fortaleza,Cruzeiro,Campeonato Brasileiro Série A,39,61,74,84,21,36,80,66,,,13,10,7,5,23,16,441,596,14,15,8,5,11,15,19,19,0,2,8,6,12,11,62,46
Bahia-Fluminense-April-16-2024-Serie-A,2024-04-16,Bahia,Fluminense,Campeonato Brasileiro Série A,40,60,77,85,42,33,66,60,,,15,23,4,3,16,18,500,674,26,16,7,9,10,7,20,15,3,2,3,9,17,19,44,37
Flamengo-Sao-Paulo-April-17-2024-Serie-A,2024-04-17,Flamengo,São Paulo,Campeonato Brasileiro Série A,47,53,80,83,50,30,66,66,,,19,19,9,1,11,16,538,598,13,14,10,13,15,15,17,21,1,2,6,5,20,18,77,50
Botafogo-RJ-Atletico-Goianiense-April-18-2024-Serie-A,2024-04-18,Botafogo (RJ),Atlético Goianiense,Campeonato Brasileiro Série A,52,48,82,77,31,25,100,75,,,13,11,8,8,16,27,618,567,14,15,8,8,12,26,33,17,1,2,5,8,11,23,73,67
Fluminense-Vasco-da-Gama-April-20-2024-Serie-A,2024-04-20,Fluminense,Vasco da Gama,Campeonato Brasileiro Série A,57,43,85,78,73,24,80,75,,,16,17,2,7,18,24,707,535,17,20,7,11,5,18,16,12,1,4,10,4,13,19,52,61
Red-Bull-Bragantino-Corinthians-April-20-2024-Serie-A,2024-04-20,Red Bull Bragantino,Corinthians,Campeonato Brasileiro Série A,35,65,57,77,30,27,100,66,,,21,10,3,4,9,28,413,671,16,13,4,13,23,20,27,14,0,4,11,6,19,26,82,78
Gremio-Cuiaba-April-20-2024-Serie-A,2024-04-20,Grêmio,Cuiabá,Campeonato Brasileiro Série A,57,43,86,78,57,21,100,75,,,10,5,3,4,13,19,708,541,15,19,9,6,15,9,22,12,0,0,8,4,23,20,61,69
Vitoria-Bahia-April-21-2024-Serie-A,2024-04-21,Vitória,Bahia,Campeonato Brasileiro Série A,42,58,79,85,62,35,71,75,,,12,13,2,7,13,21,514,656,19,12,8,5,8,20,28,15,6,2,4,4,15,15,59,61
Palmeiras-Flamengo-April-21-2024-Serie-A,2024-04-21,Palmeiras,Flamengo,Campeonato Brasileiro Série A,50,50,73,76,8,38,100,100,,,23,14,6,5,20,15,487,497,14,18,9,5,17,15,11,18,3,0,5,11,26,14,91,67
Athletico-Paranaense-Internacional-April-21-2024-Serie-A,2024-04-21,Athletico Paranaense,Internacional,Campeonato Brasileiro Série A,46,54,76,81,23,15,100,66,,,16,15,5,3,17,14,488,566,12,18,10,8,22,12,15,18,0,1,12,10,18,15,74,68
Atletico-Goianiense-Sao-Paulo-April-21-2024-Serie-A,2024-04-21,Atlético Goianiense,São Paulo,Campeonato Brasileiro Série A,35,65,76,87,11,33,66,100,,,13,9,4,3,19,16,443,747,6,12,5,8,11,24,23,19,0,2,7,6,16,10,68,69
Botafogo-RJ-Juventude-April-21-2024-Serie-A,2024-04-21,Botafogo (RJ),Juventude,Campeonato Brasileiro Série A,55,45,88,84,42,8,0,20,,,22,10,5,4,17,17,625,524,19,19,6,6,11,6,20,13,1,1,3,6,15,24,56,54
Atletico-Mineiro-Cruzeiro-April-20-2024-Serie-A,2024-04-20,Atlético Mineiro,Cruzeiro,Campeonato Brasileiro Série A,56,44,86,83,44,20,100,25,,,15,17,4,4,19,19,694,575,18,14,14,7,15,12,18,18,1,2,2,1,16,20,84,49
Vasco-da-Gama-Criciuma-April-27-2024-Serie-A,2024-04-27,Vasco da Gama,Criciúma,Campeonato Brasileiro Série A,58,42,86,85,20,59,60,100,,,13,7,5,4,25,9,645,530,16,10,8,5,9,16,8,34,0,2,4,13,18,14,60,52
Cuiaba-Atletico-Mineiro-April-27-2024-Serie-A,2024-04-27,Cuiabá,Atlético Mineiro,Campeonato Brasileiro Série A,34,66,79,89,25,36,50,100,,,11,17,3,10,10,25,404,703,14,9,10,8,9,9,17,12,2,1,4,3,15,10,55,71
Flamengo-Botafogo-RJ-April-28-2024-Serie-A,2024-04-28,Flamengo,Botafogo (RJ),Campeonato Brasileiro Série A,60,40,83,80,0,33,33,,,,12,15,8,3,34,8,656,498,20,11,10,9,12,8,12,30,2,1,3,15,10,11,50,59
Cruzeiro-Vitoria-April-28-2024-Serie-A,2024-04-28,Cruzeiro,Vitória,Campeonato Brasileiro Série A,53,47,83,83,40,38,100,50,,,12,6,10,4,27,17,612,552,31,15,5,9,12,11,11,17,0,0,5,13,16,26,65,51
Corinthians-Fluminense-April-28-2024-Serie-A,2024-04-28,Corinthians,Fluminense,Campeonato Brasileiro Série A,31,69,77,87,41,15,100,57,,,15,15,6,8,14,13,414,767,8,17,12,10,9,7,15,15,1,2,7,4,17,20,49,44
Fortaleza-Red-Bull-Bragantino-April-28-2024-Serie-A,2024-04-28,Fortaleza,Red Bull Bragantino,Campeonato Brasileiro Série A,43,57,68,74,23,30,66,80,,,9,6,12,6,28,16,507,604,24,20,15,3,32,19,20,30,1,2,3,9,12,29,79,88
Juventude-Athletico-Paranaense-April-28-2024-Serie-A,2024-04-28,Juventude,Athletico Paranaense,Campeonato Brasileiro Série A,55,45,79,75,33,40,83,80,,,12,17,4,6,24,21,618,535,15,16,14,10,13,22,17,27,1,3,5,7,13,14,60,63
Internacional-Atletico-Goianiense-April-28-2024-Serie-A,2024-04-28,Internacional,Atlético Goianiense,Campeonato Brasileiro Série A,71,29,83,67,18,50,50,75,,,13,12,13,0,41,5,792,418,17,13,2,11,23,18,10,49,1,5,1,10,18,12,65,69
Bahia-Gremio-April-27-2024-Serie-A,2024-04-27,Bahia,Grêmio,Campeonato Brasileiro Série A,60,40,86,83,29,67,100,75,,,10,15,4,0,17,4,766,555,25,18,7,16,10,9,16,14,1,2,3,8,21,21,48,46
Sao-Paulo-Palmeiras-April-29-2024-Serie-A,2024-04-29,São Paulo,Palmeiras,Campeonato Brasileiro Série A,57,43,79,75,6,22,100,100,,,10,20,6,4,17,10,583,473,19,15,10,14,16,12,15,15,2,3,4,9,21,18,61,57
